Facility Name,Registration No,License Number,Ownership,License Type,Establishment Year,Street,County,Licence Status,Facility Status,Valid Till
B BRAUN PHARMACEUTICALS EPZ LTD (Machakos),PPB/IM/,BU202604606,PRIVATE COMPANY (LIMITED),MANUFACTURER - ZERO RATED,2018,OFF NAMANGA RD,Machakos,VALID,ACTIVE,2026-12-31
BETA HEALTHCARE INTERNATIONAL LTD (Nairobi),PPB/BM,BU202603876,PRIVATE COMPANY (LIMITED),MANUFACTURER,2002,"MOGADISHU ROAD, OFF LUNGA LUNGA ROAD",Nairobi,VALID,ACTIVE,2026-12-31
BIODEAL LABORATORIES LTD (Nairobi),PPB/B/BM,BU202604027,PRIVATE COMPANY (LIMITED),MANUFACTURER,1993,LUNGA LUNGA RD,Nairobi,VALID,ACTIVE,2026-12-31
COMET HEALTHCARE LTD (Machakos),PPB/C/M,BU202604038,PRIVATE COMPANY (LIMITED),MANUFACTURER,1991,MUA-KITANGA ROAD,Machakos,VALID,ACTIVE,2026-12-31
COSMOS LIMITED (Nairobi),PPB/C/M,BU202603883,PRIVATE COMPANY (LIMITED),MANUFACTURER,0000,LUNGA LUNGA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DAWA LTD (Nairobi),PPB/DM,BU202603746,PRIVATE COMPANY (LIMITED),MANUFACTURER,2004,BABA DOGO ROAD,Nairobi,VALID,ACTIVE,2026-12-31
DINLAS PHARMA (AFRICA) LIMITED (Machakos),PPB/D/2174,BU202607644,PRIVATE COMPANY (LIMITED),MANUFACTURER - ZERO RATED,2017,OFF MOMBASA ROAD NEXT TO 67 AIRPORT HOTE,Machakos,VALID,ACTIVE,2026-12-31
ELYS CHEMICAL INDUSTRIES LTD - ENTERPRISE ROAD (Nairobi),PPB/E/026,BU202604023,PRIVATE COMPANY (LIMITED),MANUFACTURER,2000,B OFF ENTERPRISE RD,Nairobi,VALID,ACTIVE,2026-12-31
ELYS CHEMICAL INDUSTRIES LTD - MOMBASA ROAD (Nairobi),PPB/E/026 \\\\\\\\\\\\\\\'B\\\\\\\\\\\\\\\',BU202603909,PRIVATE COMPANY (LIMITED),MANUFACTURER,2013,MOMBASA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
HALEON KENYA LIMITED  (Nairobi),PPB/SM,BU202603937,PRIVATE COMPANY (LIMITED),MANUFACTURER,0000,LIKONI RD,Nairobi,VALID,ACTIVE,2026-12-31
LABORATORY & ALLIED LTD (Nairobi),PPB/LM,BU202604801,PRIVATE COMPANY (LIMITED),MANUFACTURER,1914,MOMBASA RD,Nairobi,VALID,ACTIVE,2026-12-31
QUESTA CARE LTD (Nairobi),PPB/QM,BU202604030,PRIVATE COMPANY (LIMITED),MANUFACTURER,0000,HOMABAY ROAD,Nairobi,VALID,ACTIVE,2026-12-31
REGAL PHARMACEUTICALS LTD (Nairobi),PPB/RM,BU202604071,PRIVATE COMPANY (LIMITED),MANUFACTURER,1981,BABA DOGO RD,Nairobi,VALID,ACTIVE,2026-12-31
SPHINX PHARMACEUTICALS (Nairobi),PPB/M/S,BU202606585,PARTNERSHIP,MANUFACTURER,1914,,Nairobi,VALID,ACTIVE,2026-12-31
SQUARE PHARMACEUTICALS KENYA EPZ LTD (Machakos),PPB/S/8995,BU202604615,PRIVATE COMPANY (LIMITED),MANUFACTURER - ZERO RATED,2017,EPZ ROAD,Machakos,VALID,ACTIVE,2026-12-31
TASA PHARMA LIMITED (Nairobi),PPB/T/5394,BU202603847,PRIVATE COMPANY (LIMITED),MANUFACTURER,2017,MOMBASA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
TRUPHARMA MANUFACTURING LTD (Kiambu),PPB/T/5670,BU202604548,PRIVATE COMPANY (LIMITED),MANUFACTURER,2022,JUJA-GATUNDU,Kiambu,VALID,ACTIVE,2026-12-31
UNIVERSAL CORPORATION LTD (Kiambu),PPBUM,BU202604020,PRIVATE COMPANY (LIMITED),MANUFACTURER,2012,CLUB,Kiambu,VALID,ACTIVE,2026-12-31
VIVA HEALTHCARE LIMITED (Nairobi),PPB/V/303,BU202603912,PRIVATE COMPANY (LIMITED),MANUFACTURER,2015,MOMBASA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
ZAIN PHARMA LIMITED (Nairobi),PPB/Z/1123,BU202604010,PRIVATE COMPANY (LIMITED),MANUFACTURER,2013,MOMBASA ROAD,Nairobi,VALID,ACTIVE,2026-12-31