EXPANDED PRODUCT LIST: 50 SKUs,,,,,,,,
Three-County Pilot: Kilifi (Coast) + Migori (Lake Victoria) + Kisii (Western Highlands),,,,,,,,
Original 30 SKUs + 20 NEW additions marked ★,,,,,,,,
,,,,,,,,
#,Category,Product (SKU),Formulation,New?,"Kilifi
Demand","Migori
Demand","Kisii
Demand",Rationale for Three-County Network
1,Anti-Malarials,AL 20/120mg Adult,24 tab pack,,HIGH,HIGH,LOW,First-line treatment; endemic in Kilifi + Migori (lakeside)
2,Anti-Malarials,AL 20/120mg Pediatric,6 tab dispersible,,HIGH,HIGH,LOW,Child malaria; critical for infant mortality target
3,Anti-Malarials,Sulfadoxine-Pyrimethamine,3 tab (IPTp),,MED,MED,LOW,Pregnancy prophylaxis in malaria zones
4,Anti-Malarials,Quinine 300mg,100 tab,,LOW,LOW,LOW,Backup when AL unavailable; 1st trimester pregnancy
5,Anti-Malarials,Dihydroartemisinin-Piperaquine,3 tab adult course,★,MED,MED,LOW,NEW: Alternative ACT when AL fails or resistance suspected; WHO-recommended second-line
6,Antibiotics - Access,Amoxicillin 250mg caps,100 caps,,HIGH,HIGH,HIGH,First-line respiratory/ENT; universal demand
7,Antibiotics - Access,Amoxicillin 500mg caps,100 caps,,HIGH,HIGH,HIGH,Adult dose respiratory infections
8,Antibiotics - Access,Amoxicillin 125mg/5ml susp,100ml bottle,,HIGH,HIGH,HIGH,Pediatric respiratory infections
9,Antibiotics - Access,Amoxicillin 250mg/5ml susp,100ml bottle,,HIGH,HIGH,HIGH,Older children respiratory infections
10,Antibiotics - Access,Metronidazole 400mg tabs,100 tabs,,HIGH,HIGH,HIGH,"Anaerobic infections, dental, GI; universal fast seller"
11,Antibiotics - Access,Cefalexin 250mg caps,100 caps,,MED,MED,MED,Skin/soft tissue infections; UTI backup
12,Antibiotics - Access,Doxycycline 100mg caps,100 caps,★,MED,HIGH,MED,NEW: STI treatment (critical for Migori HIV corridor); respiratory; acne; cheap and versatile
13,Antibiotics - Watch,Azithromycin 500mg tabs,3 tab pack,,HIGH,HIGH,HIGH,"Fast seller; respiratory, STIs; strict stewardship protocol"
14,Antibiotics - Watch,Cotrimoxazole 960mg tabs,100 tabs,,MED,HIGH,MED,HIV prophylaxis in Migori; UTI treatment; pneumocystis prevention
15,Reproductive Health,Levonorgestrel 1.5mg (EC),1 tab,,MED,HIGH,HIGH,Emergency contraception; high urban demand in Kisii
16,Reproductive Health,COC (Ethinylestradiol+Levon),28 tab cycle,,MED,MED,MED,Combined oral contraceptive; steady refill demand
17,Reproductive Health,POP (Levonorgestrel 30mcg),28 tab cycle,,MED,MED,MED,Progestin-only; breastfeeding-compatible
18,Reproductive Health,DMPA-SC (Sayana Press),1 unit,,MED,MED,MED,Self-injectable; 3-month contraception; only injectable in the list
19,Barrier Contraception,Male condoms,Pack of 3,★,MED,HIGH,HIGH,"NEW: HIV prevention essential for Migori; family planning; cheap, high-volume"
20,Reproductive Health,Misoprostol 200mcg tabs,4 tabs,★,MED,MED,MED,NEW: Postpartum hemorrhage prevention; incomplete miscarriage management; WHO essential medicine
21,Chronic Disease,Amlodipine 5mg tabs,30 tabs,,MED,MED,HIGH,Hypertension first-line; higher demand in Kisii (lifestyle factors)
22,Chronic Disease,Enalapril 5mg tabs,30 tabs,,MED,MED,HIGH,ACE inhibitor; heart failure; diabetic nephropathy
23,Chronic Disease,Metformin 500mg tabs,100 tabs,,MED,MED,HIGH,Diabetes first-line; growing NCD burden
24,Chronic Disease,Metformin 850mg tabs,100 tabs,★,LOW,MED,HIGH,NEW: Many diabetics on higher dose; avoids splitting pills; Kisii has higher NCD load
25,Chronic Disease,Glibenclamide 5mg tabs,100 tabs,,LOW,MED,MED,Sulfonylurea add-on to metformin
26,Chronic Disease,Hydrochlorothiazide 25mg tabs,100 tabs,★,MED,MED,HIGH,NEW: Most common add-on to amlodipine/enalapril; cheap; KEML Level 2
27,Pediatric Health,ORS sachets,10 sachets,,HIGH,HIGH,HIGH,WHO standard for childhood diarrhea; universal
28,Pediatric Health,Zinc 20mg dispersible tabs,10 tabs,,HIGH,HIGH,HIGH,Completes ORS treatment; reduces diarrhea duration
29,Pediatric Health,Paracetamol 120mg/5ml susp,100ml bottle,,HIGH,HIGH,HIGH,Pediatric fever/pain; highest-volume pediatric product
30,Vitamins & Minerals,Ascorbic acid 500mg tabs,100 tabs,,MED,MED,MED,General health; immune support; steady demand
31,Vitamins & Minerals,Iron + Folic Acid tabs,100 tabs,,HIGH,HIGH,HIGH,Maternal health; anemia treatment; ANC essential
32,Vitamins & Minerals,"Vitamin A 200,000 IU caps",100 caps,,MED,MED,MED,Child supplementation; measles treatment adjunct
33,Pain & Allergy,Ibuprofen 200mg tabs,100 tabs,,HIGH,HIGH,HIGH,Pain/fever; traffic driver; universal demand
34,Pain & Allergy,Cetirizine 10mg tabs,100 tabs,,MED,MED,HIGH,Antihistamine; allergic rhinitis; Kisii highlands
35,Pain & Allergy,Paracetamol 500mg tabs,100 tabs,★,HIGH,HIGH,HIGH,NEW: Single highest-volume pharmacy product in Kenya; glaring omission from original list
36,Pain & Allergy,Diclofenac 50mg tabs,100 tabs,★,MED,MED,HIGH,NEW: Strong NSAID for musculoskeletal pain; very high demand in all pharmacies
37,Gastrointestinal,Omeprazole 20mg caps,100 caps,★,HIGH,HIGH,HIGH,NEW: Top pharmacy seller; peptic ulcer/GERD; drives traffic
38,Gastrointestinal,Loperamide 2mg caps,100 caps,★,MED,HIGH,MED,NEW: Adult acute diarrhea; complements pediatric ORS/Zinc
39,Gastrointestinal,Oral rehydration salts — adult,Sachets ×10,★,MED,HIGH,MED,NEW: Adult rehydration; cholera-prone lakeside Migori
40,Deworming,Albendazole 400mg tabs,1 tab,★,HIGH,HIGH,HIGH,NEW: National deworming program; schools; ANC; one-dose; universal demand
41,HIV Support,Cotrimoxazole 240mg/5ml susp,100ml bottle,★,LOW,HIGH,MED,NEW: Pediatric HIV prophylaxis; critical in Migori; children born to HIV+ mothers
42,HIV Support,Fluconazole 150mg caps,1 cap,★,LOW,HIGH,MED,NEW: Oral/vaginal candidiasis; opportunistic infections in HIV patients; single-dose treatment
43,Respiratory,Salbutamol 100mcg inhaler,200 dose MDI,★,MED,MED,HIGH,NEW: Asthma reliever; Kisii highlands = more respiratory issues; essential rescue inhaler
44,Respiratory,Cough syrup (simple linctus),100ml bottle,★,MED,MED,MED,NEW: Symptomatic relief; extremely high customer demand; traffic driver
45,Antifungal,Clotrimazole vaginal 500mg,1 tab + applicator,,MED,HIGH,MED,Women's health; common condition; single-dose
46,Antifungal,Clotrimazole cream 1%,20g tube,★,HIGH,HIGH,HIGH,"NEW: Topical fungal infections (ringworm, athlete's foot); extremely common across all counties"
47,Topical/Wound Care,Povidone-iodine 10% solution,100ml bottle,★,HIGH,HIGH,HIGH,NEW: Wound care; basic antiseptic; every pharmacy needs this
48,Diagnostics,Pregnancy test strips,50 strips,,MED,MED,MED,Reproductive health package; counseling entry point
49,Diagnostics,Malaria RDT (mRDT),25 test kit,★,HIGH,HIGH,LOW,NEW: Test before treat; supports AL stewardship; critical for Kilifi + Migori
,,,,,,,,
SUMMARY,,,,,,,,
,Original SKUs retained,30,,,,,,
,New SKUs added,20,,,,,,
,Total SKUs,50,,,,,,
,,,,,,,,
,Categories (original),10,,,,,,
,New categories added,6,,,,,,
,Total categories,16,,,,,,
,,,,,,,,
,Products requiring strict protocols,"6 (Watch antibiotics, Misoprostol, ARV-adjacent)",,,,,,
,Injectables,1 (DMPA-SC self-administered only),,,,,,
,Cold chain required,0,,,,,,
,,,,,,,,
NEW ADDITIONS BY COUNTY JUSTIFICATION,,,,,,,,
,Driven by Migori (HIV/Lake),"Condoms, Doxycycline, Cotrimoxazole susp, Fluconazole, Loperamide, Adult ORS, Malaria RDT",,,,,,
,Driven by Kisii (Highland/NCD),"Metformin 850mg, Hydrochlorothiazide, Salbutamol inhaler, Diclofenac",,,,,,
,Driven by all three (universal gaps),"Paracetamol 500mg, Omeprazole, Albendazole, Clotrimazole cream, Povidone-iodine, Cough syrup, DHA-Piperaquine, Misoprostol",,,,,,